Date,Source,Number of People,Check-in Date,Check-out Date,Hotel name,Address,Room Type,Distance from attraction,Deal Info,price
2025-09-24,booking.com,2,2025-10-20,2025-10-23,Riu Plaza Toronto,"Entertainment District, Toronto (Entertainment District)",Deluxe Double Room with Two Double Beds,0.6 miles from downtown,N/A,$312
2025-09-24,booking.com,2,2025-10-20,2025-10-23,Sonder by Marriott Bonvoy The Liberty Apartments Liberty Village,Toronto,Two-Bedroom Apartment with One Queen Bed and One Double Bed,2.2 miles from downtown,N/A,$414
2025-09-24,booking.com,2,2025-10-20,2025-10-23,Chelsea Hotel Toronto,"Yonge - Dundas, Toronto (Yonge - Dundas)",Standard Double Room with Two Double Beds,0.5 miles from downtown,N/A,$309
2025-09-24,booking.com,2,2025-10-20,2025-10-23,Samesun Toronto,"Kensington Market, Toronto (Kensington Market)",Queen Room with Balcony,1.1 miles from downtown,N/A,$159
2025-09-24,booking.com,2,2025-10-20,2025-10-23,Holiday Inn Toronto Downtown Centre by IHG,"The Village, Toronto (The Village)",Standard Double Room with Two Double Beds,0.7 miles from downtown,N/A,$269
2025-09-24,booking.com,2,2025-10-20,2025-10-23,Town Inn Suites Hotel,"The Village, Toronto (The Village)",Deluxe King Suite,1.2 miles from downtown,N/A,$164
2025-09-24,booking.com,2,2025-10-20,2025-10-23,Hampton Inn by Hilton Toronto Airport Corporate Centre,Toronto,King Room with King Bed - Non-Smoking,11 miles from downtown,N/A,$172
2025-09-24,booking.com,2,2025-10-20,2025-10-23,Canadas Best Value Inn Toronto,"Etobicoke, Toronto",Queen Room - Non-Smoking,9 miles from downtown,N/A,$111
2025-09-24,booking.com,2,2025-10-20,2025-10-23,Homewood Suites by Hilton Toronto Airport Corporate Centre,Toronto,King Studio Suite - Non-Smoking,11 miles from downtown,N/A,$148
2025-09-24,booking.com,2,2025-10-20,2025-10-23,Executive Hotel Cosmopolitan Toronto,"Old Town Toronto, Toronto (Old Town Toronto)",Family Suite with Sofabed,0.3 miles from downtown,N/A,$416
2025-09-24,booking.com,2,2025-10-20,2025-10-23,Sandman Signature Toronto Airport Hotel,"Etobicoke, Toronto","Standard Suite, 1 King Bed, Kitchen, Washer Dryer",10.7 miles from downtown,N/A,$224
2025-09-24,booking.com,2,2025-10-20,2025-10-23,Great Canadian Casino Resort Toronto,"Etobicoke, Toronto",Premium King,11.9 miles from downtown,N/A,$97
2025-09-24,booking.com,2,2025-10-20,2025-10-23,Holiday Inn Toronto International Airport by IHG,"Etobicoke, Toronto (Northeast Mississauga)",Standard Room with Two Queen Beds,11.2 miles from downtown,N/A,$162
2025-09-24,booking.com,2,2025-10-20,2025-10-23,Gladstone House,"West Queen West, Toronto (West Queen West)",Studio Queen,2.3 miles from downtown,N/A,$333
2025-09-24,booking.com,2,2025-10-20,2025-10-23,The Novotel Toronto Centre,"Old Town Toronto, Toronto (Old Town Toronto)",Superior with Two Queen Beds - Renovated,0.5 miles from downtown,N/A,$604
2025-09-24,booking.com,2,2025-10-20,2025-10-23,"Delta Suites - In Downtown Toronto, Opposite Scotiabank Arena, CN Tower, Rogers Centre & MTCC","Entertainment District, Toronto (Entertainment District)",One-Bedroom Apartment,0.6 miles from downtown,N/A,$252
2025-09-24,booking.com,2,2025-10-20,2025-10-23,SoHo Hotel Toronto,"Entertainment District, Toronto (Entertainment District)",Premier Luxury King Room,0.7 miles from downtown,N/A,$697
2025-09-24,booking.com,2,2025-10-20,2025-10-23,Embassy Suites By Hilton Toronto Airport,"Etobicoke, Toronto (Northeast Mississauga)",Two-Room King Suite,11 miles from downtown,N/A,$161
2025-09-24,booking.com,2,2025-10-20,2025-10-23,Best Western Plus Travel Hotel Toronto Airport,Toronto,Queen Room,10.9 miles from downtown,N/A,$154
2025-09-24,booking.com,2,2025-10-20,2025-10-23,Regis Suites - Downtown Toronto - CN Tower & Rogers Centre,"Downtown Toronto, Toronto",Two-Bedroom Apartment,0.9 miles from downtown,N/A,$325
2025-09-24,booking.com,2,2025-10-20,2025-10-23,B Hotel,Toronto,Suite with City View,2.7 miles from downtown,N/A,$146
2025-09-24,booking.com,2,2025-10-20,2025-10-23,Crowne Plaza Toronto Airport by IHG,"Etobicoke, Toronto",Standard Room,10.5 miles from downtown,N/A,$165
2025-09-24,booking.com,2,2025-10-20,2025-10-23,KozyStay Toronto,"North York, Toronto",Three-Bedroom House,9 miles from downtown,N/A,$195
2025-09-24,booking.com,2,2025-10-20,2025-10-23,Novotel Toronto North York,"North York, Toronto",Executive King Room,8.2 miles from downtown,N/A,$214
2025-09-24,booking.com,2,2025-10-20,2025-10-23,Canopy By Hilton Toronto Yorkville,"Downtown Toronto, Toronto",Queen Room with Two Queen Beds,1.4 miles from downtown,N/A,$397
